symbol,price,likes,market_cap,volume_cap,date
MTH,0.03815786,2245,13155929,589097,2021-05-16 18:08:12.796463
TROY,0.01591473,5758,30031446,10349058,2021-05-16 18:08:12.796463
LTO,0.408461,12361,115524062,13376289,2021-05-16 18:08:12.796463
IOST,0.04800951,19850,1076213354,311377380,2021-05-16 18:08:12.796463
MFT,0.01405617,13034,130525215,13729890,2021-05-16 18:08:12.796463
FOR,0.07748704,3653,43364703,6232539,2021-05-16 18:08:12.796463
CVC,0.421842,12719,281508099,24077600,2021-05-16 18:08:12.796463
FRONT,1.8,17906,66930050,26046278,2021-05-16 18:08:12.796463
VTHO,0.01262852,29604,445594065,46422268,2021-05-16 18:08:12.796463
SNT,0.158613,11207,611135516,30653940,2021-05-16 18:08:12.796463
ENJ,1.85,81809,1720936788,281552398,2021-05-16 18:08:12.796463
QSP,0.06250246,6188,44517342,1035038,2021-05-16 18:08:12.796463
VIB,0.07990968,2426,14618350,1670936,2021-05-16 18:08:12.796463
RVN,0.129127,29546,1129839038,157416254,2021-05-16 18:08:12.796463
HOT,0.01081566,57624,1915698259,354865847,2021-05-16 18:08:12.796463
GTO,0.05958333,4613,39453462,56838902,2021-05-16 18:08:12.796463
SFP,1.91,16422,203100659,24020553,2021-05-16 18:08:12.796463
IDEX,0.0915929,4520,52889160,1828758,2021-05-16 18:08:12.796463
SAND,0.397768,25909,275500558,60526165,2021-05-16 18:08:12.796463
DENT,0.00663567,36937,634710636,108805924,2021-05-16 18:08:12.796463
TOMO,1.87,11596,151544510,20214683,2021-05-16 18:08:12.796463
QKC,0.024746,5643,159012158,4049958,2021-05-16 18:08:12.796463
POA,0.06266993,2358,18040254,336811,2021-05-16 18:08:12.796463
SUPER,1.5,30643,152746904,11023173,2021-05-16 18:08:12.796463
SUB,0.00462587,1874,1163768,-1,2021-05-16 18:08:12.796463
JST,0.103941,7488,147187084,219566510,2021-05-16 18:08:12.796463
AST,0.299615,7989,51424790,3261619,2021-05-16 18:08:12.796463
NEW,0.118175,-1,25458149,-1,2021-05-16 18:08:12.796463
RAMP,0.408935,24074,113570812,18673571,2021-05-16 18:08:12.796463
AMB,0.05923285,4995,8549893,1294752,2021-05-16 18:08:12.796463
CVP,2.12,5466,30155475,4506325,2021-05-16 18:08:12.796463
ROSE,0.112739,16034,168074159,14036858,2021-05-16 18:08:12.796463
OAX,0.258287,1920,14739195,692320,2021-05-16 18:08:12.796463
KEY,0.0122208,7018,34148807,5227807,2021-05-16 18:08:12.796463
NBS,0.02193379,1778,4310680,-1,2021-05-16 18:08:12.796463
AKRO,0.03865214,24457,103727804,24261362,2021-05-16 18:08:12.796463
